loc,path,role,notes
354,"/home/user/ReadyRoom/src/components/auth/LoginForm.tsx",Component,""
353,"/home/user/ReadyRoom/src/hooks/useChangeLog.ts",Hook,""
352,"/home/user/ReadyRoom/src/components/settings/UserAccounts.tsx",Component,""
346,"/home/user/ReadyRoom/src/hooks/usePermissions.ts",Hook,""
345,"/home/user/ReadyRoom/src/components/ui/PermissionGate.tsx",Component,""
339,"/home/user/ReadyRoom/src/utils/pilotStatusStandingService.ts",Service/Utility,""
322,"/home/user/ReadyRoom/src/components/ui/LoginForm.tsx",Component,""
319,"/home/user/ReadyRoom/src/components/ui/mission prep/AircraftGroups.tsx",Component,""
313,"/home/user/ReadyRoom/src/utils/debugUtils.ts",Service/Utility,""
297,"/home/user/ReadyRoom/src/hooks/useMissionPrepData.ts",Hook,""
293,"/home/user/ReadyRoom/src/hooks/usePolls.ts",Hook,""
288,"/home/user/ReadyRoom/src/types/PermissionTypes.ts",Types,""
284,"/home/user/ReadyRoom/src/utils/discordRoleSync.ts",Service/Utility,""
272,"/home/user/ReadyRoom/src/styles/RosterManagementStyles.ts",Styles,""
270,"/home/user/ReadyRoom/src/components/onboarding/OnboardingGuide.tsx",Component,""
267,"/home/user/ReadyRoom/src/utils/userSettingsService.ts",Service/Utility,""
255,"/home/user/ReadyRoom/src/hooks/useMission.ts",Hook,""
255,"/home/user/ReadyRoom/src/components/settings/Settings.tsx",Component,""
254,"/home/user/ReadyRoom/src/utils/squadronService.ts",Service/Utility,""
254,"/home/user/ReadyRoom/src/components/ui/dialogs/TankerDivisionDialog.tsx",Component,""
251,"/home/user/ReadyRoom/src/utils/coordinateUtils.tsx",Service/Utility,""
251,"/home/user/ReadyRoom/src/components/ui/events/CyclesList.tsx",Component,""
247,"/home/user/ReadyRoom/src/components/layout/DroppableZone.tsx",Component,""
246,"/home/user/ReadyRoom/src/components/ui/change-log/ChangeLogPost.tsx",Component,""
244,"/home/user/ReadyRoom/src/components/ui/polls/PollItem.tsx",Component,""
243,"/home/user/ReadyRoom/src/components/ui/flight cards/FlightCard.tsx",Component,""
242,"/home/user/ReadyRoom/src/components/ui/events/EventsList.tsx",Component,""
240,"/home/user/ReadyRoom/src/utils/reminderProcessor.ts",Service/Utility,""
233,"/home/user/ReadyRoom/src/utils/dragDropUtils.tsx",Service/Utility,""
227,"/home/user/ReadyRoom/src/components/ui/QualificationBadge.tsx",Component,""
225,"/home/user/ReadyRoom/src/utils/authDiscordSync.ts",Service/Utility,""
221,"/home/user/ReadyRoom/src/components/ui/change-log/ChangeLogCard.tsx",Component,""
217,"/home/user/ReadyRoom/src/pages/ClearCache.tsx",Page,""
210,"/home/user/ReadyRoom/src/components/ui/polls/PollCard.tsx",Component,""
209,"/home/user/ReadyRoom/src/components/ui/dialogs/EnRouteDivisionDialog.tsx",Component,""
208,"/home/user/ReadyRoom/src/context/AuthContext.tsx",Context,""
201,"/home/user/ReadyRoom/src/types/FlightData.ts",Types,""
201,"/home/user/ReadyRoom/src/components/ui/flight cards/SingleFlightCard.tsx",Component,""
199,"/home/user/ReadyRoom/src/components/ui/DivisionEditor.tsx",Component,""
198,"/home/user/ReadyRoom/src/utils/permissions.ts",Service/Utility,""
197,"/home/user/ReadyRoom/src/components/ui/mission prep/MissionProcessor.tsx",Component,""
196,"/home/user/ReadyRoom/src/components/ui/change-log/ChangeLogFeed.tsx",Component,""
192,"/home/user/ReadyRoom/src/components/ui/change-log/MarkdownRenderer.tsx",Component,""
191,"/home/user/ReadyRoom/src/components/ui/dialogs/ConfirmationDialog.tsx",Component,""
190,"/home/user/ReadyRoom/src/components/ui/dialogs/FuelStateDialog.tsx",Component,""
186,"/home/user/ReadyRoom/src/context/AppSettingsContext.tsx",Context,""
179,"/home/user/ReadyRoom/src/hooks/useMissionPrepState.ts",Hook,""
178,"/home/user/ReadyRoom/src/components/reports/Reports.tsx",Component,""
172,"/home/user/ReadyRoom/src/components/settings/Appearance.tsx",Component,""
171,"/home/user/ReadyRoom/src/types/PilotTypes.ts",Types,""
170,"/home/user/ReadyRoom/src/utils/squadronMappingCache.ts",Service/Utility,""
163,"/home/user/ReadyRoom/src/utils/standingService.ts",Service/Utility,""
163,"/home/user/ReadyRoom/src/components/ui/flight cards/FuelDisplay.tsx",Component,""
160,"/home/user/ReadyRoom/src/components/ui/PilotList.tsx",Component,""
159,"/home/user/ReadyRoom/src/components/auth/AuthCallback.tsx",Component,""
150,"/home/user/ReadyRoom/src/components/auth/ResetPassword.tsx",Component,""
146,"/home/user/ReadyRoom/src/components/ui/dialogs/FlightPostOptionsDialog.tsx",Component,""
144,"/home/user/ReadyRoom/src/components/settings/PermissionsSettings.tsx",Component,""
140,"/home/user/ReadyRoom/src/types/ReportTypes.ts",Types,""
139,"/home/user/ReadyRoom/src/utils/rollCallUtils.ts",Service/Utility,""
138,"/home/user/ReadyRoom/src/utils/statusService.ts",Service/Utility,""
137,"/home/user/ReadyRoom/src/components/ui/dialogs/LaunchDivisionDialog.tsx",Component,""
134,"/home/user/ReadyRoom/src/types/OrganizationTypes.ts",Types,""
131,"/home/user/ReadyRoom/src/utils/aircraftExtractor.tsx",Service/Utility,""
126,"/home/user/ReadyRoom/src/utils/localStorageUtils.ts",Service/Utility,""
121,"/home/user/ReadyRoom/src/types/MissionTypes.ts",Types,""
120,"/home/user/ReadyRoom/src/types/UserSettings.ts",Types,""
112,"/home/user/ReadyRoom/src/components/ui/DiscordEnvironmentIndicator.tsx",Component,""
110,"/home/user/ReadyRoom/src/utils/squadronCallsignService.ts",Service/Utility,""
110,"/home/user/ReadyRoom/src/styles/commsStyles.ts",Styles,""
107,"/home/user/ReadyRoom/src/components/ui/roster/PilotListItem.tsx",Component,""
106,"/home/user/ReadyRoom/src/components/ui/buttons/RecoveryToggleSwitch.tsx",Component,""
105,"/home/user/ReadyRoom/src/context/WebSocketContext.tsx",Context,""
104,"/home/user/ReadyRoom/src/components/ui/PilotIDBadgeSm.tsx",Component,""
103,"/home/user/ReadyRoom/src/components/ui/mission-execution/PilotDragOverlay.tsx",Component,""
103,"/home/user/ReadyRoom/src/components/ui/Home.tsx",Component,""
99,"/home/user/ReadyRoom/src/utils/dateUtils.ts",Service/Utility,""
94,"/home/user/ReadyRoom/src/styles/MissionPrepStyles.ts",Styles,""
91,"/home/user/ReadyRoom/src/components/auth/DebugAuth.tsx",Component,""
90,"/home/user/ReadyRoom/src/components/ui/dialogs/NoFlightsWarningDialog.tsx",Component,""
90,"/home/user/ReadyRoom/src/components/ui/buttons/AddDivisionButton.tsx",Component,""
88,"/home/user/ReadyRoom/src/components/ui/dialogs/DeleteDivisionDialog.tsx",Component,""
87,"/home/user/ReadyRoom/src/context/RollCallContext.tsx",Context,""
83,"/home/user/ReadyRoom/src/components/ui/buttons/EnRouteDivisionButton.tsx",Component,""
82,"/home/user/ReadyRoom/src/components/ui/flight cards/SupportRoleCard.tsx",Component,""
82,"/home/user/ReadyRoom/src/components/ui/buttons/TankerDivisionButton.tsx",Component,""
81,"/home/user/ReadyRoom/src/utils/supportRoleUtils.ts",Service/Utility,""
80,"/home/user/ReadyRoom/src/components/auth/QuickLogin.tsx",Component,""
78,"/home/user/ReadyRoom/src/components/ui/buttons/LaunchDivisionButton.tsx",Component,""
78,"/home/user/ReadyRoom/src/components/auth/PermissionGuardedRoute.tsx",Component,""
75,"/home/user/ReadyRoom/src/utils/attendanceReportTypes.ts",Service/Utility,""
75,"/home/user/ReadyRoom/src/components/ui/roster/RoleSelector.tsx",Component,""
73,"/home/user/ReadyRoom/src/utils/pilotTypes.ts",Service/Utility,""
73,"/home/user/ReadyRoom/src/types/TeamTypes.ts",Types,""
72,"/home/user/ReadyRoom/src/types/EventTypes.ts",Types,""
72,"/home/user/ReadyRoom/src/components/ui/buttons/TimeAdjuster.tsx",Component,""
69,"/home/user/ReadyRoom/src/components/ui/polls/PollList.tsx",Component,""
66,"/home/user/ReadyRoom/src/components/ui/LoadingSpinner.tsx",Component,""
65,"/home/user/ReadyRoom/src/types/PollTypes.ts",Types,""
59,"/home/user/ReadyRoom/src/components/auth/ProtectedRoute.tsx",Component,""
57,"/home/user/ReadyRoom/src/styles/DivisionEditor.ts",Styles,""
56,"/home/user/ReadyRoom/src/components/ui/roster/BasicPilotInfo.tsx",Component,""
55,"/home/user/ReadyRoom/src/types/ChangeLogTypes.ts",Types,""
52,"/home/user/ReadyRoom/src/components/ui/roster/SquadronSelector.tsx",Component,""
51,"/home/user/ReadyRoom/src/utils/missionCommanderUtils.ts",Service/Utility,""
49,"/home/user/ReadyRoom/src/components/ui/roster/StandingSelector.tsx",Component,""
48,"/home/user/ReadyRoom/src/components/ui/roster/StatusSelector.tsx",Component,""
45,"/home/user/ReadyRoom/src/types/SupportRoleTypes.ts",Types,""
41,"/home/user/ReadyRoom/src/main.tsx",Other,""
40,"/home/user/ReadyRoom/src/context/PageLoadingContext.tsx",Context,""
38,"/home/user/ReadyRoom/src/utils/wake.ts",Service/Utility,""
36,"/home/user/ReadyRoom/src/utils/commsUtils.tsx",Service/Utility,""
35,"/home/user/ReadyRoom/src/types/CommsTypes.ts",Types,""
33,"/home/user/ReadyRoom/src/components/ui/roster/StatusFilter.tsx",Component,""
29,"/home/user/ReadyRoom/src/utils/appInitialization.ts",Service/Utility,""
25,"/home/user/ReadyRoom/src/utils/sb.ts",Service/Utility,""
25,"/home/user/ReadyRoom/src/components/ui/StandardPageLoader.tsx",Component,""
22,"/home/user/ReadyRoom/src/components/ui/AppContent.tsx",Component,""
20,"/home/user/ReadyRoom/src/utils/positionUtils.tsx",Service/Utility,""
19,"/home/user/ReadyRoom/src/types/DialogTypes.ts",Types,""
18,"/home/user/ReadyRoom/src/types/MissionCommanderTypes.ts",Types,""
13,"/home/user/ReadyRoom/src/components/ui/card.tsx",Component,""
9,"/home/user/ReadyRoom/src/types/TankerTypes.ts",Types,""
8,"/home/user/ReadyRoom/src/types/MissionPrepTypes.ts",Types,""
5,"/home/user/ReadyRoom/src/types/EnRouteTypes.ts",Types,""
3,"/home/user/ReadyRoom/src/fengari.d.ts",Other,""
1,"/home/user/ReadyRoom/src/vite-env.d.ts",Other,""
# Server files
2333,"/home/user/ReadyRoom/server/index.js",Server,"Backend"
107,"/home/user/ReadyRoom/server/supabaseClient.js",Server,"Backend"
# Discord Bot files
2117,"/home/user/ReadyRoom/SDOBot/index.js",Discord Bot,"WARNING: >1000 LOC"
759,"/home/user/ReadyRoom/SDOBot/discordBot.js",Discord Bot,""
554,"/home/user/ReadyRoom/SDOBot/lib/embedCreator.js",Discord Bot,""
498,"/home/user/ReadyRoom/SDOBot/lib/eventHandlers.js",Discord Bot,""
451,"/home/user/ReadyRoom/SDOBot/lib/countdownManager.js",Discord Bot,""
277,"/home/user/ReadyRoom/SDOBot/lib/threadManager.js",Discord Bot,""
243,"/home/user/ReadyRoom/SDOBot/lib/messageManager.js",Discord Bot,""
180,"/home/user/ReadyRoom/SDOBot/lib/guildHelpers.js",Discord Bot,""
135,"/home/user/ReadyRoom/SDOBot/lib/discordClient.js",Discord Bot,""
83,"/home/user/ReadyRoom/SDOBot/fetch-message.js",Discord Bot,""
76,"/home/user/ReadyRoom/SDOBot/supabaseClient.js",Discord Bot,""
1,"/home/user/ReadyRoom/SDOBot/server-complete.js",Discord Bot,""
